CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,LoyaltyLevel,SatisfactionScore,salaryGroup,AgeGroup,FrequencyGroup,satisfactionLevel
96,42,Male,Canada,38297,3,9,6,High,Gold,81.73,low salary,Middle-aged Adults,Low,average satisfied
97,62,Female,Germany,87011,4,1,10,Medium,Gold,83.53,average salary,Older Adults,Moderate,average satisfied
98,58,Female,Canada,114170,1,9,13,Medium,Gold,100,high salary,Older Adults,Moderate,high satisfied
99,46,Male,USA,51814,5,3,2,High,Gold,62.79,average salary,Middle-aged Adults,Low,low satisfied
100,32,Female,Germany,48027,8,7,6,High,Gold,73.83,low salary,Young Adults,Low,low satisfied
101,62,Female,USA,84302,6,6,17,Low,Bronze,100,average salary,Older Adults,High,high satisfied
102,18,Male,USA,73911,3,9,13,Low,Gold,87.24,average salary,Young Adults,Moderate,average satisfied
103,42,Female,USA,42143,4,9,14,High,Gold,100,low salary,Middle-aged Adults,High,high satisfied
104,24,Male,UK,109502,5,4,11,Low,Gold,84.43,high salary,Young Adults,Moderate,average satisfied
105,26,Male,Germany,78192,5,5,11,High,Silver,85.26,average salary,Young Adults,Moderate,average satisfied
106,41,Male,France,92190,2,4,8,Medium,Gold,59.89,average salary,Middle-aged Adults,Moderate,low satisfied
107,18,Male,France,79929,3,9,9,Low,Bronze,79.86,average salary,Young Adults,Moderate,average satisfied
108,61,Male,UK,40839,10,5,8,Low,Gold,90.56,low salary,Older Adults,Moderate,high satisfied
109,25,Male,USA,110206,8,9,2,Medium,Bronze,100,high salary,Young Adults,Low,high satisfied
110,41,Male,France,87200,1,8,7,Medium,Bronze,93.71,average salary,Middle-aged Adults,Moderate,high satisfied
111,28,Female,Germany,49631,4,2,19,Low,Gold,79.97,low salary,Young Adults,High,average satisfied
112,68,Male,Canada,112389,2,6,3,Medium,Bronze,81.08,high salary,Older Adults,Low,average satisfied
113,34,Female,Germany,67911,9,7,6,Medium,Gold,100,average salary,Young Adults,Low,high satisfied
114,25,Female,USA,35065,7,3,13,Medium,Silver,78.74,low salary,Young Adults,Moderate,average satisfied
115,52,Male,Germany,72646,6,9,16,Medium,Gold,100,average salary,Middle-aged Adults,High,high satisfied
116,52,Female,USA,39540,4,4,20,High,Gold,74.69,low salary,Middle-aged Adults,High,low satisfied
117,50,Male,Germany,106576,1,4,10,High,Silver,70.77,high salary,Middle-aged Adults,Moderate,low satisfied
118,22,Male,UK,68947,9,4,6,High,Silver,85.99,average salary,Young Adults,Low,average satisfied
119,59,Male,Germany,114199,3,3,1,High,Silver,76.93,high salary,Older Adults,Low,average satisfied
120,56,Male,France,96881,3,6,17,Low,Silver,99.16,average salary,Older Adults,High,high satisfied
121,58,Male,Canada,114907,6,9,14,Low,Gold,97.81,high salary,Older Adults,High,high satisfied
122,45,Male,UK,106990,6,6,17,High,Silver,100,high salary,Middle-aged Adults,High,high satisfied
123,24,Female,Germany,31196,4,2,3,Medium,Gold,63.03,low salary,Young Adults,Low,low satisfied
124,26,Female,USA,93460,5,7,4,Low,Bronze,99.76,average salary,Young Adults,Low,high satisfied
125,25,Female,UK,60328,5,8,1,Low,Silver,79.87,average salary,Young Adults,Low,average satisfied
126,29,Female,France,91303,6,9,10,High,Gold,100,average salary,Young Adults,Moderate,high satisfied
127,51,Female,Canada,52193,3,3,9,High,Silver,68.52,average salary,Middle-aged Adults,Moderate,low satisfied
128,50,Male,Canada,72818,9,9,14,Low,Silver,100,average salary,Middle-aged Adults,High,high satisfied
129,65,Female,Germany,73862,7,6,13,Medium,Gold,100,average salary,Older Adults,Moderate,high satisfied
130,40,Male,France,61460,4,10,8,Low,Bronze,85.23,average salary,Middle-aged Adults,Moderate,average satisfied
131,41,Male,France,40368,3,7,8,Medium,Bronze,72.15,low salary,Middle-aged Adults,Moderate,low satisfied
132,54,Male,Canada,95265,10,1,5,High,Bronze,96.28,average salary,Middle-aged Adults,Low,high satisfied
133,52,Male,Canada,33910,7,9,16,Low,Silver,100,low salary,Middle-aged Adults,High,high satisfied
134,61,Male,France,112935,5,3,19,Medium,Bronze,89.43,high salary,Older Adults,High,average satisfied
135,57,Male,Canada,77042,2,2,8,Medium,Gold,51.15,average salary,Older Adults,Moderate,low satisfied
136,39,Male,USA,115074,6,9,13,High,Silver,100,high salary,Middle-aged Adults,Moderate,high satisfied
137,44,Female,Canada,51341,3,3,4,High,Gold,57.98,average salary,Middle-aged Adults,Low,low satisfied
138,52,Male,USA,104888,7,7,20,Low,Bronze,100,high salary,Middle-aged Adults,High,high satisfied
139,18,Male,Canada,45970,10,3,15,Medium,Bronze,88.63,low salary,Young Adults,High,average satisfied
140,52,Female,UK,46546,5,2,12,Medium,Gold,77.78,low salary,Middle-aged Adults,Moderate,average satisfied
141,54,Female,UK,60860,7,9,4,Low,Bronze,100,average salary,Middle-aged Adults,Low,high satisfied
142,64,Male,UK,51145,4,3,17,High,Gold,92.42,average salary,Older Adults,High,high satisfied
143,31,Female,USA,67042,1,1,9,High,Silver,26.67,average salary,Young Adults,Moderate,low satisfied
144,20,Male,USA,65992,1,9,20,Medium,Bronze,78.83,average salary,Young Adults,High,average satisfied
145,18,Male,Germany,103510,7,3,15,High,Bronze,83.59,high salary,Young Adults,High,average satisfied
146,22,Male,Germany,42746,9,4,7,Low,Silver,97.22,low salary,Young Adults,Moderate,high satisfied
147,43,Male,Canada,101133,6,3,9,Low,Silver,77.17,high salary,Middle-aged Adults,Moderate,average satisfied
148,31,Female,USA,61284,3,2,13,High,Gold,51.81,average salary,Young Adults,Moderate,low satisfied
149,56,Female,UK,117613,9,9,9,Medium,Silver,100,high salary,Older Adults,Moderate,high satisfied
150,44,Female,UK,44440,9,1,5,Medium,Silver,73.83,low salary,Middle-aged Adults,Low,low satisfied
151,26,Male,UK,75022,1,7,12,Low,Gold,55.71,average salary,Young Adults,Moderate,low satisfied
152,32,Male,Canada,96759,10,1,9,Medium,Silver,89.27,average salary,Young Adults,Moderate,average satisfied
153,32,Female,USA,114282,5,2,15,High,Bronze,88.23,high salary,Young Adults,High,average satisfied
154,43,Female,Canada,91845,3,4,11,Medium,Gold,70.78,average salary,Middle-aged Adults,Moderate,low satisfied
155,59,Male,France,104405,9,3,16,Low,Gold,100,high salary,Older Adults,High,high satisfied
156,30,Female,France,36871,7,5,5,Medium,Bronze,88.46,low salary,Young Adults,Low,average satisfied
157,68,Female,Germany,73294,4,10,3,Medium,Gold,100,average salary,Older Adults,Low,high satisfied
158,49,Male,USA,86112,5,8,1,Low,Gold,100,average salary,Middle-aged Adults,Low,high satisfied
159,56,Female,UK,50403,9,5,13,Medium,Bronze,100,average salary,Older Adults,Moderate,high satisfied
160,66,Male,USA,49312,4,2,7,Low,Silver,69.68,low salary,Older Adults,Moderate,low satisfied
161,69,Female,Germany,95901,7,8,9,Low,Silver,100,average salary,Older Adults,Moderate,high satisfied
162,49,Female,UK,59912,5,9,1,Medium,Bronze,100,average salary,Middle-aged Adults,Low,high satisfied
163,21,Male,Canada,64783,1,1,2,Low,Bronze,29.03,average salary,Young Adults,Low,low satisfied
164,47,Male,UK,48172,1,8,5,Low,Silver,73.46,low salary,Middle-aged Adults,Low,low satisfied
165,54,Male,France,57353,6,4,7,Medium,Silver,100,average salary,Middle-aged Adults,Moderate,high satisfied
166,40,Male,Canada,67987,2,7,20,Low,Silver,100,average salary,Middle-aged Adults,High,high satisfied
167,56,Male,UK,59206,5,7,4,High,Gold,79.87,average salary,Older Adults,Low,average satisfied
168,62,Male,Canada,94493,2,10,10,High,Silver,100,average salary,Older Adults,Moderate,high satisfied
169,32,Female,France,110154,10,8,8,Medium,Bronze,100,high salary,Young Adults,Moderate,high satisfied
170,60,Female,France,66852,1,6,14,High,Bronze,77.8,average salary,Older Adults,High,average satisfied
171,46,Male,USA,60850,8,4,5,Low,Gold,90.13,average salary,Middle-aged Adults,Low,high satisfied
172,53,Male,France,95639,4,8,4,Medium,Silver,100,average salary,Middle-aged Adults,Low,high satisfied
173,30,Male,France,37706,10,9,15,Low,Silver,100,low salary,Young Adults,High,high satisfied
174,49,Female,France,65517,5,10,12,Low,Gold,100,average salary,Middle-aged Adults,Moderate,high satisfied
175,24,Female,Germany,61501,6,1,2,High,Gold,61.82,average salary,Young Adults,Low,low satisfied
176,68,Female,France,117771,6,3,9,High,Silver,100,high salary,Older Adults,Moderate,high satisfied
177,39,Female,USA,114651,4,5,9,Medium,Gold,95.71,high salary,Middle-aged Adults,Moderate,high satisfied
178,45,Male,Canada,74007,2,9,17,Low,Gold,98.36,average salary,Middle-aged Adults,High,high satisfied
179,19,Female,Germany,85498,2,8,16,High,Bronze,100,average salary,Young Adults,High,high satisfied
180,59,Female,Canada,77155,1,7,18,Low,Silver,94.69,average salary,Older Adults,High,high satisfied
181,62,Female,Canada,42755,5,6,19,Low,Bronze,100,low salary,Older Adults,High,high satisfied
182,23,Male,USA,41681,6,8,2,Medium,Silver,100,low salary,Young Adults,Low,high satisfied
183,45,Female,Germany,93484,10,1,1,High,Gold,85.16,average salary,Middle-aged Adults,Low,average satisfied
184,45,Male,UK,63682,2,2,12,Low,Gold,62.22,average salary,Middle-aged Adults,Moderate,low satisfied
185,61,Female,France,68904,3,8,2,High,Bronze,100,average salary,Older Adults,Low,high satisfied
186,61,Female,Canada,49947,3,6,14,Medium,Gold,77.78,low salary,Older Adults,High,average satisfied
187,37,Female,Canada,51696,7,7,19,Low,Silver,100,average salary,Middle-aged Adults,High,high satisfied
188,47,Male,USA,56756,8,5,3,High,Bronze,92.55,average salary,Middle-aged Adults,Low,high satisfied
189,28,Female,USA,103912,2,7,2,High,Bronze,69.02,high salary,Young Adults,Low,low satisfied
190,45,Female,USA,113093,5,9,2,Low,Gold,100,high salary,Middle-aged Adults,Low,high satisfied
191,42,Male,Germany,85553,7,5,11,High,Bronze,100,average salary,Middle-aged Adults,Moderate,high satisfied
192,56,Female,France,37624,8,7,2,Medium,Bronze,96.23,low salary,Older Adults,Low,high satisfied
193,50,Female,Germany,106523,10,4,17,Low,Bronze,100,high salary,Middle-aged Adults,High,high satisfied
194,18,Female,USA,96950,3,5,12,High,Bronze,81.47,average salary,Young Adults,Moderate,average satisfied
195,44,Female,USA,63044,6,10,12,Medium,Silver,100,average salary,Middle-aged Adults,Moderate,high satisfied
196,69,Female,Canada,107370,9,5,17,Medium,Silver,100,high salary,Older Adults,High,high satisfied
197,30,Male,Germany,58424,4,5,1,Low,Bronze,67.86,average salary,Young Adults,Low,low satisfied
198,58,Female,Germany,58791,6,3,8,Medium,Silver,78.6,average salary,Older Adults,Moderate,average satisfied
199,20,Female,France,108408,4,5,7,Low,Bronze,86.29,high salary,Young Adults,Moderate,average satisfied
200,56,Male,Germany,30250,5,6,7,Low,Silver,90.23,low salary,Older Adults,Moderate,high satisfied
201,23,Male,France,76475,3,7,10,Low,Gold,83.65,average salary,Young Adults,Moderate,average satisfied
202,25,Female,UK,43803,4,4,5,Low,Silver,62.44,low salary,Young Adults,Low,low satisfied
203,44,Female,France,43923,3,3,20,High,Gold,55.99,low salary,Middle-aged Adults,High,low satisfied
204,26,Female,USA,74616,4,8,14,Medium,Bronze,93.29,average salary,Young Adults,High,high satisfied
205,54,Male,UK,69049,6,5,7,Medium,Bronze,90.6,average salary,Middle-aged Adults,Moderate,high satisfied
206,50,Female,Canada,75680,2,7,19,Low,Silver,82.42,average salary,Middle-aged Adults,High,average satisfied
207,68,Male,Canada,77689,10,8,11,Low,Silver,100,average salary,Older Adults,Moderate,high satisfied
208,59,Male,Canada,36719,1,9,14,Medium,Bronze,93.53,low salary,Older Adults,High,high satisfied
209,61,Male,USA,60000,8,6,3,High,Bronze,91.87,average salary,Older Adults,Low,high satisfied
210,41,Female,Canada,64287,3,10,6,High,Bronze,100,average salary,Middle-aged Adults,Low,high satisfied
211,32,Female,France,75667,4,10,12,High,Gold,100,average salary,Young Adults,Moderate,high satisfied
212,49,Female,USA,90570,4,7,1,Low,Silver,92.83,average salary,Middle-aged Adults,Low,high satisfied
213,49,Male,Germany,66360,4,8,19,High,Silver,100,average salary,Middle-aged Adults,High,high satisfied
214,41,Female,USA,108649,8,6,6,High,Silver,94.44,high salary,Middle-aged Adults,Low,high satisfied
215,58,Female,USA,112683,4,6,4,Low,Bronze,100,high salary,Older Adults,Low,high satisfied
216,69,Male,Germany,100685,3,2,14,High,Silver,64.29,high salary,Older Adults,High,low satisfied
217,66,Male,France,38141,6,10,11,High,Gold,100,low salary,Older Adults,Moderate,high satisfied
218,66,Male,UK,88668,2,5,7,Medium,Silver,82.81,average salary,Older Adults,Moderate,average satisfied
219,69,Male,Germany,30924,10,3,6,Medium,Silver,100,low salary,Older Adults,Low,high satisfied
220,29,Male,USA,97291,9,2,19,Low,Gold,100,average salary,Young Adults,High,high satisfied
221,56,Female,Canada,103502,5,5,19,Medium,Gold,100,high salary,Older Adults,High,high satisfied
222,19,Male,Germany,109568,7,6,11,Medium,Silver,100,high salary,Young Adults,Moderate,high satisfied
223,20,Female,Germany,67503,1,3,14,Low,Gold,55.01,average salary,Young Adults,High,low satisfied
224,66,Male,UK,102757,2,7,13,Low,Bronze,95.66,high salary,Older Adults,Moderate,high satisfied
225,54,Female,USA,88958,3,3,12,High,Silver,78.74,average salary,Middle-aged Adults,Moderate,average satisfied
226,66,Female,Canada,111710,4,3,13,High,Bronze,90,high salary,Older Adults,Moderate,high satisfied
227,34,Male,Canada,62927,10,6,1,High,Silver,100,average salary,Young Adults,Low,high satisfied
228,66,Male,UK,112314,3,9,12,Medium,Bronze,100,high salary,Older Adults,Moderate,high satisfied
229,19,Female,Canada,116859,2,2,11,Medium,Silver,54.35,high salary,Young Adults,Moderate,low satisfied
230,19,Male,France,81058,6,6,19,High,Silver,92.79,average salary,Young Adults,High,high satisfied
231,45,Male,Germany,48802,1,10,5,Medium,Gold,82.12,low salary,Middle-aged Adults,Low,average satisfied
232,40,Male,Germany,59862,8,5,16,Low,Bronze,90.61,average salary,Middle-aged Adults,High,high satisfied
233,54,Male,Canada,39971,1,4,17,High,Silver,68.62,low salary,Middle-aged Adults,High,low satisfied
234,49,Male,Canada,87032,10,10,3,High,Bronze,100,average salary,Middle-aged Adults,Low,high satisfied
235,50,Male,Canada,70729,2,10,12,Medium,Bronze,100,average salary,Middle-aged Adults,Moderate,high satisfied
236,18,Male,Germany,38515,3,2,2,High,Bronze,38.9,low salary,Young Adults,Low,low satisfied
237,36,Male,Canada,54076,4,8,17,Low,Silver,80.38,average salary,Middle-aged Adults,High,average satisfied
238,19,Female,France,67148,5,3,20,Medium,Silver,82.28,average salary,Young Adults,High,average satisfied
239,61,Female,France,77342,4,4,12,Medium,Gold,90.22,average salary,Older Adults,Moderate,high satisfied
240,43,Male,Germany,65400,6,9,12,Low,Gold,100,average salary,Middle-aged Adults,Moderate,high satisfied
241,49,Male,USA,75737,3,9,12,High,Bronze,100,average salary,Middle-aged Adults,Moderate,high satisfied
242,23,Female,USA,57069,8,6,8,High,Bronze,100,average salary,Young Adults,Moderate,high satisfied
243,49,Male,USA,70679,2,10,8,Medium,Silver,94.05,average salary,Middle-aged Adults,Moderate,high satisfied
244,21,Male,France,109046,9,3,8,High,Bronze,97.77,high salary,Young Adults,Moderate,high satisfied
245,28,Male,UK,51702,7,7,5,Low,Silver,100,average salary,Young Adults,Low,high satisfied
246,34,Male,USA,116036,8,2,6,High,Gold,100,high salary,Young Adults,Low,high satisfied
247,55,Female,UK,101153,6,7,12,Low,Silver,96.7,high salary,Older Adults,Moderate,high satisfied
248,41,Male,Germany,102364,5,4,20,Medium,Bronze,100,high salary,Middle-aged Adults,High,high satisfied
249,22,Female,France,78538,5,6,14,Medium,Bronze,100,average salary,Young Adults,High,high satisfied
250,69,Male,USA,115188,7,9,13,Low,Gold,100,high salary,Older Adults,Moderate,high satisfied
251,51,Female,France,98423,4,7,7,High,Gold,92.13,average salary,Middle-aged Adults,Moderate,high satisfied
252,23,Female,Germany,91710,1,8,8,High,Bronze,78.48,average salary,Young Adults,Moderate,average satisfied
253,39,Female,France,79740,6,9,3,Medium,Silver,93.73,average salary,Middle-aged Adults,Low,high satisfied
254,28,Male,Canada,95195,5,5,19,High,Gold,86.09,average salary,Young Adults,High,average satisfied
255,65,Male,USA,59050,7,1,8,Medium,Bronze,66.78,average salary,Older Adults,Moderate,low satisfied
256,33,Male,France,112862,1,8,17,Low,Bronze,100,high salary,Young Adults,High,high satisfied
257,50,Female,France,39759,7,4,6,Medium,Gold,82.24,low salary,Middle-aged Adults,Low,average satisfied
258,26,Male,France,115027,10,6,20,Medium,Gold,100,high salary,Young Adults,High,high satisfied
259,23,Male,Germany,31712,2,7,14,High,Gold,69.13,low salary,Young Adults,High,low satisfied
260,33,Female,USA,78564,7,5,20,Medium,Silver,100,average salary,Young Adults,High,high satisfied
261,46,Male,USA,79558,10,9,12,Low,Gold,100,average salary,Middle-aged Adults,Moderate,high satisfied
262,20,Female,Canada,119233,2,1,15,Low,Silver,73.23,high salary,Young Adults,High,low satisfied
263,37,Male,Canada,93883,3,8,12,Medium,Silver,89.01,average salary,Middle-aged Adults,Moderate,average satisfied
264,53,Female,France,55430,7,7,16,Medium,Gold,100,average salary,Middle-aged Adults,High,high satisfied
265,36,Female,USA,53933,2,3,14,High,Silver,55.66,average salary,Middle-aged Adults,High,low satisfied
266,43,Female,USA,117169,4,1,2,Low,Silver,70.48,high salary,Middle-aged Adults,Low,low satisfied
267,20,Female,France,90651,9,1,11,Low,Silver,80.56,average salary,Young Adults,Moderate,average satisfied
268,36,Female,UK,104142,6,1,6,Low,Gold,79.47,high salary,Middle-aged Adults,Low,average satisfied
269,37,Female,USA,102111,8,9,19,Low,Bronze,100,high salary,Middle-aged Adults,High,high satisfied
270,49,Female,France,70789,9,4,16,High,Silver,100,average salary,Middle-aged Adults,High,high satisfied
271,24,Male,France,99700,9,5,19,Medium,Gold,100,average salary,Young Adults,High,high satisfied
272,69,Female,UK,74176,7,6,11,Medium,Bronze,100,average salary,Older Adults,Moderate,high satisfied
